invoice_number,invoice_date,total_amount,vendor_name,currency
INVOICE,2007-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1994-01-03,2.14,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2014-01-16,53.1,Address:4894 Melanie Pass Apt. 742,USD
,2014-01-15,289.16,Address:4894 Melanie Pass Apt. 742,USD
INVO7820771,2015-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1995-02-12,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-12-16,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2000-02-29,50.08,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-10-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2021-11-16,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2002-02-26,90.74,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-01-08,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2022-05-08,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2007-07-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1997-05-04,411.06,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2006-12-08,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1995-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2016-12-15,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2007-01-24,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2013-06-19,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-01-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2022-04-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2015-03-07,240.16,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2021-11-08,550.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2016-04-09,1.52,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2018-07-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1998-03-27,68.09,Address:4894 Melanie Pass Apt. 742,USD
,1997-12-30,65.02,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-01-03,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2008-02-15,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1993-07-12,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2018-01-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-08-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2006-12-01,125.07,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-04-18,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-06-22,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1993-07-07,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2015-03-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-10-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2003-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2018-09-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2005-07-16,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1997-09-08,80.08,Address:4894 Melanie Pass Apt. 742,USD
,2023-01-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1996-03-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2023-01-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2002-10-03,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2003-08-22,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2017-03-14,104.64,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-02-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2011-07-29,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2020-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-12-12,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-06-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
526259,1997-03-29,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2008-04-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2017-01-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1997-02-23,86.4,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2010-09-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV47922119,2007-03-19,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2017-11-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2011-08-21,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-06-09,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV89302147,1993-11-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2019-02-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-11-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV38857,2005-10-13,0.0,Address:4894 Melanie Pass Apt. 742,USD
,1995-06-02,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2005-06-13,261.12,Address:4894 Melanie Pass Apt. 742,USD
,2009-04-09,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2012-10-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2018-07-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2004-06-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2018-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2021-04-23,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-07-11,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2018-08-26,0.0,Address:4894 Melanie Pass Apt. 742,USD
,2012-09-30,300.72,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2019-07-27,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-07-05,0.44,Address:4894 Melanie Pass Apt. 742,USD
INV45863453,2012-01-29,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1999-11-06,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-07-28,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-04-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2009-01-14,0.0,Address:4894 Melanie Pass Apt. 742,USD
INV49020904,2019-04-17,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2002-07-30,198.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1994-12-25,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,1996-12-30,298.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2008-04-05,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2011-07-04,0.0,Address:4894 Melanie Pass Apt. 742,USD
INVOICE,2019-04-13,288.72,Address:4894 Melanie Pass Apt. 742,USD
