invoice_number,invoice_date,total_amount,vendor_name,currency,num_missing_fields,has_critical_missing,num_pages,file_size_kb,vendor_freq,blur_score,ocr_confidence,contrast_score,tax,subtotal,tax_rate,total_amount_log,is_small_invoice,is_medium_invoice,is_large_invoice,is_very_large_invoice,day_of_week,day_of_month,month,is_weekend,is_month_end,blur_ocr_interaction,is_low_quality,quality_label,failure_label
INVOICE,2007-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,2,101.86763954837858,200,100,0.95,76.61515932522482,0.0,0.0,0.0,0.0,1,0,0,0,2,5,9,0,0,95.0,0,1,0
INVOICE,1994-01-03,2.14,Address:4894 Melanie Pass Apt. 742,USD,0,0,2,72.93066901327937,200,100,0.95,79.91645236235992,0.21400000000000002,1.9260000000000002,0.11111105342105224,1.144222799920162,1,0,0,0,0,3,1,0,0,95.0,0,1,0
INVOICE,2014-01-16,53.1,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,45.901900952919824,200,100,0.95,69.43113925091541,5.3100000000000005,47.79,0.11111110878612454,3.9908341858524357,1,0,0,0,3,16,1,0,0,95.0,0,1,0
,2014-01-15,289.16,Address:4894 Melanie Pass Apt. 742,USD,1,1,9,120.27771513781607,200,90,0.8999999999999999,91.84783501562097,28.916000000000004,260.244,0.11111111068416137,5.670432494974647,0,1,0,0,2,15,1,0,0,80.99999999999999,0,1,0
INVO7820771,2015-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,2,127.24027636724881,200,100,0.95,65.20393998040707,0.0,0.0,0.0,0.0,1,0,0,0,2,23,12,0,0,95.0,0,1,0
,1995-02-12,0.0,Address:4894 Melanie Pass Apt. 742,USD,1,1,9,50.76260587508317,200,90,0.8999999999999999,75.38080522422284,0.0,0.0,0.0,0.0,1,0,0,0,6,12,2,1,0,80.99999999999999,0,1,1
INVOICE,1998-12-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,52.14196559190123,200,100,0.95,76.84579262317806,0.0,0.0,0.0,0.0,1,0,0,0,2,16,12,0,0,95.0,0,1,0
INVOICE,2007-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,9,135.0457184572931,200,100,0.95,84.48380971381457,0.0,0.0,0.0,0.0,1,0,0,0,3,26,7,0,0,95.0,0,1,0
INVOICE,2000-02-29,50.08,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,67.8865648129076,200,100,0.95,75.1611305775932,5.008,45.072,0.11111110864591967,3.9333930311643384,1,0,0,0,1,29,2,0,1,95.0,0,1,0
INVOICE,2007-10-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,2,39.31408439080567,200,100,0.95,69.3479416228505,0.0,0.0,0.0,0.0,1,0,0,0,2,17,10,0,0,95.0,0,1,0
INVOICE,2021-11-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,8,109.0834324405777,200,100,0.95,84.47148229827451,0.0,0.0,0.0,0.0,1,0,0,0,1,16,11,0,0,95.0,0,1,0
INVOICE,2002-02-26,90.74,Address:4894 Melanie Pass Apt. 742,USD,0,0,3,174.34318019143183,200,100,0.95,78.27980853371,9.074,81.666,0.11111110975055581,4.518958489169026,1,0,0,0,1,26,2,0,0,95.0,0,1,0
INVOICE,2017-01-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,131.19041549980602,200,100,0.95,67.83651789829553,0.0,0.0,0.0,0.0,1,0,0,0,6,8,1,1,0,95.0,0,1,0
INVOICE,2022-05-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,3,20.958805977907474,200,100,0.95,78.38966510580156,0.0,0.0,0.0,0.0,1,0,0,0,6,8,5,1,0,95.0,0,1,0
INVOICE,2007-07-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,118.52378851916617,200,100,0.95,98.63664148592783,0.0,0.0,0.0,0.0,1,0,0,0,2,4,7,0,0,95.0,0,1,0
INVOICE,1997-05-04,411.06,Address:4894 Melanie Pass Apt. 742,USD,0,0,7,105.2269608531677,200,100,0.95,63.0223761841542,41.106,369.954,0.11111111081077348,6.021168969814313,0,1,0,0,6,4,5,1,0,95.0,0,1,0
