invoice_number,invoice_date,total_amount,vendor_name,currency,file_name,blur_score,contrast_score,ocr_confidence,num_pages_fake,subtotal,tax,tax_rate,tax_to_total_ratio,math_error,math_error_pct,total_amount_log,subtotal_log,is_small_invoice,is_medium_invoice,is_large_invoice,is_very_large_invoice,blur_ocr_interaction,blur_contrast_ratio,ocr_blur_product,blur_squared,ocr_squared,contrast_squared,overall_image_quality,is_critical_low_blur,is_low_blur,is_excellent_blur,is_low_ocr,is_medium_ocr,is_high_ocr,is_low_contrast,is_multipage,is_high_risk_ocr,is_multipage_low_quality,day_of_week,is_weekend,is_monday,month,is_month_end,quarter,vendor_name_length,vendor_has_numbers,vendor_all_caps,vendor_frequency,is_rare_vendor,is_frequent_vendor,vendor_avg_amount,amount_vs_vendor_avg,amount_zscore,is_amount_outlier,amount_rolling_mean,amount_rolling_std,label_quality_bad,label_failure
INVOICE,2008-01-10,792.95,,USD,INVOICE.jpg,44.97953341969104,23.26823795414233,0.5531328362610066,1,100.92456679700857,16.75543320299144,0.1660193703944509,0.1429888467315462,0.5,0.0042669397143971,4.772208885917529,4.624232998482976,0,1,0,0,13.159047779914577,0.7156975786871642,0.1315904777991457,277.32315105131613,0.6243998664288687,541.4108974905897,0.431388472018067,1,1,0,0,1,0,1,0,0,0,3,0,0,1,0,1,10,0,1,63,0,1,28.050317460317466,4.177492678586645,-0.018658438538693,0,218.93100000000004,435.20069785391934,1,0
651220,2001-04-28,502.5,ss,USD,651220.jpg,75.78692741172016,24.49611718890745,0.543795154310096,1,0.866818177097863,0.1331818229021369,0.1536442967817506,0.1331816897204472,0.0,0.0,0.6931471805599453,0.6242354720816145,1,0,0,0,28.892057905088084,1.5182521840537186,0.2889205790508808,1383.1916755735704,0.6034962650023289,600.0597573326872,0.5010593088268765,0,1,0,0,1,0,1,0,0,0,5,1,0,4,1,2,2,0,0,113,0,1,34.80407079646018,0.0287322703460721,-0.0282566868012621,0,9.124000000000022,25.35407848787252,1,1
INVOICE,2000-01-01,544.675,,UNK,INVOICE.jpg,86.63066875807954,23.74455909386129,0.49378868282787913,1,15.870794090231271,1.9992059097687296,0.1259675963556024,0.111874974700266,0.0,0.0,2.9375733593804587,2.825583966595961,1,0,0,0,31.33473348761221,1.8707630574383125,0.313347334876122,1973.1760085106296,0.4976066597732487,563.8040865618709,0.499855020037181,0,1,0,0,1,0,1,0,1,0,5,1,0,1,0,1,7,0,1,1598,0,1,138.72588861076346,0.1288151768220018,-0.0268629662969624,0,79.71800000000003,114.28451103373668,0,1
INVOICE,2001-07-23,510.0,COMMERCIAL INVOICE,USD,INVOICE.jpg,123.93829371909854,18.90643960813147,0.5697017643852231,1,3.4857695781320523,0.5142304218679477,0.1475227386145167,0.1285575733275935,0.0,0.0,1.6094379124341005,1.5009100701180966,1,0,0,0,56.39412316091428,3.665004812324668,0.5639412316091428,4801.408400550044,0.6623675517217067,357.4534586559225,0.6151864467534378,0,0,0,0,1,0,1,0,0,0,0,0,1,7,0,3,18,0,1,1512,0,1,118.17793650793652,0.0338472652709087,-0.0280088408313214,0,8.234,13.40705976438161,0,0
16870634,2000-09-17,500.0,,UNK,16870634.jpg,108.94948452363644,28.193658187818787,0.47100074466910274,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,39.90026042720533,2.1032976228467595,0.3990026042720533,3516.449243120284,0.452738166283366,794.8823620115613,0.5494364859320073,0,0,0,1,0,0,1,0,0,0,6,1,0,9,0,3,24,0,0,184,0,1,23.225869565217387,0.0,-0.0283393021245756,0,57.652,94.01172136360984,0,1
,2008-04-05,1516.1750000000002,SA Invoice Date: 05-Apr-2008,USD,nan.jpg,115.94235023038677,43.43003622876029,0.5538821212748662,1,360.8479044964116,45.62209550358841,0.1264302627469237,0.1122397603546354,0.0,0.0,6.009967310338958,5.8912239702118026,0,1,0,0,50.61024044352645,1.4727495277830691,0.5061024044352644,4091.082030102308,0.6260926617713178,1886.168046831432,0.6376666169658561,0,0,0,0,1,0,0,0,0,0,5,1,0,4,0,2,28,1,0,1,1,0,406.47,0.999999997539794,0.0052413483426858,0,200.56700000000004,376.2492742603317,0,0
INVOICE,1995-04-26,500.0,co COMMERCIAL INVOICE,USD,INVOICE.jpg,62.39823683372208,50.8104898282088,0.5003291288297421,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,20.20292657041262,0.5562924262638503,0.2020292657041262,798.9379940481723,0.5108759941949566,2581.70587658251,0.4840480966833068,1,1,0,0,1,0,0,1,1,1,2,0,0,4,1,2,21,0,0,62,0,1,16.823709677419355,0.0,-0.0283393021245756,0,28.015999999999973,35.702360395044344,1,1
INVOICE,2003-05-24,520.1,,UNK,INVOICE.jpg,48.405809712321656,35.86698961083443,0.5205468925245754,1,7.187838271158324,0.8521617288416747,0.1185560356449579,0.1059902515984357,0.0,0.0,2.201659174404085,2.102649915669228,1,0,0,0,14.082434262279468,0.5279842594087248,0.1408243426227946,358.6177890722787,0.5529980965652895,1286.440943743705,0.4482876481460404,1,1,0,0,1,0,0,0,1,0,5,1,0,5,0,2,9,0,0,43,0,1,69.66302325581395,0.1154127327357453,-0.0276750749251346,0,77.747,231.449003222159,1,0
INVOICE,2008-04-21,599.275,,USD,INVOICE.jpg,170.0,24.72197651456693,0.6523596896229095,1,33.93320288967208,5.776797110327919,0.1702402499071461,0.1454746150806674,0.0,0.0,3.706473762514888,3.553437749137588,1,0,0,0,93.19424137470136,4.044983858636592,0.9319424137470136,10000.0,0.8685166625406099,611.1761227867986,0.7756237978405885,0,0,1,0,0,1,1,0,0,0,0,0,1,4,0,2,27,1,0,1,1,0,39.71,0.9999999748174272,-0.0250586476357943,0,223.94700000000003,511.757392958904,0,0
INVOICE,1994-10-09,1821.3,,USD,INVOICE.jpg,72.55079674126836,40.57385126692681,0.5463091843695327,1,453.57818809335305,84.94181190664693,0.1872704948102446,0.1607163621924063,10.0,0.0189207598219163,6.271970935810668,6.119369929830374,0,1,0,0,27.34188848161087,0.8634591624107689,0.2734188848161087,1227.371661396489,0.609089234543886,1646.2374066306982,0.5269208204482462,0,1,0,0,1,0,0,0,0,0,6,1,0,10,0,4,7,0,1,1598,0,1,138.72588861076346,3.809815179292916,0.0153245485531055,0,65.59799999999998,163.62136411714522,0,1
