vendor_name,year_month,monthly_spend
"Duran, Morgan and Loper TAX INVOICE",1804-02-01,35.11
INVOICE,1805-02-01,285.08
"Duran, Morgan and Loper TAX INVOICE",1806-05-01,10.59
TAX INVOICE,1808-03-01,256.51
"Duran, Morgan and Loper INVOICE",1808-03-01,12.08
COMMERCIAL INVOICE,1808-04-01,6.82
"Duran, Morgan and Loper TAX INVOICE",1808-05-01,40.2
COMMERCIAL INVOICE,1850-08-01,157.33
"Duran, Morgan and Loper INVOICE",1865-01-01,26.76
INVOICE,1867-05-01,95.15
COMMERCIAL INVOICE,1883-02-01,119.04
COMMERCIAL INVOICE,1883-03-01,741.24
TAX INVOICE INVOICE # INV/60-78/528,1885-02-01,4.0
INVOICE 10 tY2Me-908,1885-07-01,4.0
INVOICE,1887-09-01,530.05
"Duran, Morgan and Loper TAX INVOICE",1894-03-01,132.69
TAX INVOICE,1897-04-01,2.02
"Duran, Morgan and Loper TAX INVOICE",1899-03-01,27.53
TAX INVOICE,1903-11-01,9.19
Invoice umber syaM.028,1904-01-01,32.11
Invoice Date: 15-Jan-1904,1904-01-01,5.0
COMMERCIAL INVOICE,1904-04-01,80.75
TAX INVOICE,1904-08-01,607.68
TAX INVOICE A\,1904-12-01,6.0
COMMERCIAL INVOICE A\,1904-12-01,2.0
INVOICE,1905-02-01,251.62
INVOICE,1905-03-01,25.27
Ba.,1905-05-01,61.12
co TAX INVOICE,1905-07-01,6.0
INVOICE,1905-07-01,4.0
Invoice number INVI86-78/010,1905-07-01,3.0
INVOICE,1906-11-01,660.34
Bil to:Brian Barber,1908-04-01,33.02
Invoice number 0361-568,1908-07-01,5.0
co TAX INVOICE,1908-07-01,3.0
Invoice Date: 25-Oct-1908,1908-10-01,99.98
ZEON,1908-10-01,92.99
TAX INVOICE,1909-03-01,531.4
Ba.,1909-03-01,71.48
S INVOICE,1909-06-01,23.43
{0619 Dana Valo Suit 124,1959-06-01,42.68
"Duran, Morgan and Loper INVOICE",1963-04-01,120.79
COMMERCIAL INVOICE,1963-11-01,3.0
INVOICE,1967-11-01,90.76
TAX INVOICE,1969-12-01,6.0
Yoder LLC,1983-04-01,79.16
TAX INVOICE,1983-06-01,1.0
Robinson-Carson 62 96 e,1983-08-01,16.62
"Rogers, Olson and Sanders",1983-09-01,75.73
Invoice number Nvs1629418,1983-10-01,4.0
TAX INVOICE,1983-12-01,6.0
"Rogers, Olson and Sanders",1983-12-01,5.0
INVOICE,1987-11-01,6.0
Invoice Date: 10-Feb-1988,1988-02-01,5.0
Ba.,1988-04-01,547.53
Yoder LLC,1988-04-01,83.18
TAX INVOICE,1988-08-01,27.65
Yoder Luc,1989-08-01,25.12
Yoder Luc,1989-11-01,99.12
Bill tosJonathan Stanley,1989-11-01,46.8
INVOICE,1993-01-01,1309.6
COMMERCIAL INV,1993-01-01,933.76
COMMERCIAL INVOICE,1993-01-01,65.68
=) UJ,1993-01-01,29.59
as,1993-01-01,6.0
COMMERCIAL INVOICE,1993-02-01,909.85
Wy Dale: 19-Feb-1993,1993-02-01,684.31
Date: 12-Feb-1993.,1993-02-01,595.68
INVOICE,1993-02-01,475.1
=,1993-02-01,241.05
